iata,origin_count,dest_count,total_ops,pct_of_total_ops,rank,icao_asos,timezone
ATL,341910,341825,683735,4.8292774988095175,1,KATL,America/New_York
DFW,313582,313568,627150,4.4296129105258455,2,KDFW,America/Chicago
DEN,308645,308609,617254,4.359716634734466,3,KDEN,America/Denver
ORD,280052,280009,560061,3.9557576915921473,4,KORD,America/Chicago
CLT,217555,217545,435100,3.073147695718401,5,KCLT,America/New_York
LAX,194053,194044,388097,2.741161574960295,6,KLAX,America/Los_Angeles
PHX,193551,193542,387093,2.73407023897661,7,KPHX,America/Phoenix
LAS,189252,189264,378516,2.6734901705183782,8,KLAS,America/Los_Angeles
SEA,163724,163707,327431,2.3126725423046928,9,KSEA,America/Los_Angeles
LGA,162432,162470,324902,2.294810003756148,10,KLGA,America/New_York
MCO,159553,159578,319131,2.254048948017258,11,KMCO,America/New_York
BOS,143490,143491,286981,2.026970808699064,12,KBOS,America/New_York
DCA,140016,140015,280031,1.9778823773378984,13,KDCA,America/New_York
SFO,134978,135075,270053,1.9074069286872928,14,KSFO,America/Los_Angeles
DTW,131367,131360,262727,1.855662777874071,15,KDTW,America/New_York
EWR,128979,128978,257957,1.821971868867919,16,KEWR,America/New_York
MSP,126779,126793,253572,1.791000247066666,17,KMSP,America/Chicago
JFK,123348,123334,246682,1.7423356007244464,18,KJFK,America/New_York
IAH,115940,115961,231901,1.6379361613072696,19,KIAH,America/Chicago
SLC,113247,113239,226486,1.599689563347455,20,KSLC,America/Denver
MIA,109944,109923,219867,1.5529390126741385,21,KMIA,America/New_York
PHL,100635,100619,201254,1.4214738367136546,22,KPHL,America/New_York
BNA,100220,100213,200433,1.4156750450377529,23,KBNA,America/Chicago
BWI,98572,98575,197147,1.3924657521668482,24,KBWI,America/New_York
SAN,94645,94645,189290,1.3369711039359595,25,KSAN,America/Los_Angeles
FLL,91890,91897,183787,1.2981029546150258,26,KFLL,America/New_York
AUS,85344,85345,170689,1.205590684979265,27,KAUS,America/Chicago
MDW,79633,79631,159264,1.124894954288429,28,KMDW,America/Chicago
TPA,78517,78512,157029,1.1091089623327162,29,KTPA,America/New_York
DAL,72674,72672,145346,1.0265909560604154,30,KDAL,America/Chicago
